Company,Category/Subject,Grade/Age Group,Link,Description,Free Service Offered
Academons,"Math, Reading, Writing, Science, Social Studies, ESL",3rd - 5th,http://get.academons.com/,The Nº1 Homeschooling App in Spanish for Primary students,"30 days of free access to PRO version: +10.000 learning games for all subjects: Maths, Español, English, Science, Geography and History"
Academy4SC,"Social Studies, Psychology, ELA, Sociology","6th - 8th, High School, Higher Education",https://academy4sc.org/,"Academy4SC is a video series on various psychology, rhetoric, logic, reasoning, and economic topics. Each video comes with an explanation of the topic as well as a lesson plan. New videos are added frequently",Educational videos and lesson plans
Accurate Learning Systems Corporation,Math,K-9,http://www.mathscore.com,Individuals that sign up for free home version accounts can master their math facts for free. This is an important area of focus often neglected by schools. Teachers that want free full access to all of the topics for the remainder of this school year can inquire here: http://www.mathscore.com/products/online-math-practice/signup/quote/,
Acessibyte,,,https://www.accessibyte.com/stay-safe,"Accessibyte Online is offering free access to its entire cloud platform of apps for blind, low vision, deaf and reading impaired students. Highly visual and fully audible typing tutor, games, flash cards and study apps.",Free Access
Achieve3000,"Reading, Science, Social Studies, Special Education","K - 2nd, 3rd - 5th, 6th - 8th, High School",https://achieve3000.com/community-resources/remote-learning-2020/,"Achieve3000 partners with educators to deliver a comprehensive suite of digital solutions that significantly accelerate literacy and deepen learning across the content areas. Our personalized and differentiated solutions provide equity in the classroom, enabling teachers to help all students achieve up to 3x expected growth. For more than four million students in grades PreK-12, Achieve3000 improves high-stakes test performance and drives college and career readiness.",Achieve3000 Literacy at Home Digital provides access to engaging non-fiction articles at 3 reading levels. Topics range from science and social studies to current events. Each article is part of a lesson designed to nurture students’ critical thinking skills and check their understanding of the articles. Setting up an account is easy with self-rostering capabilities.
Active History,,,https://www.activehistory.co.uk/,"Amazing resources for history teachers by the British educator Russell Tarr including interactive simulations, quizzes, games that can easily be used for online learning.",1 month free trial because of school closures upon request (contact form)
"ActivEd, Inc.",,,http://info.activedinc.com/covid,"ActivEd, Inc. offers Walkabouts, web-based lessons for pre-K to second-grade students that integrate movement with language arts, math, and reading content and correlate to your state’s standards.","To support your efforts to keep your students moving and learning outside of school due to closures related to COVID-19, we have decided to make the Walkabouts platform temporarily available at no cost to any classrooms impacted by school closures and remote learning needs."
Actively Learn,"Reading, Science, Social Studies, ESL","6th - 8th, High School",www.activelylearn.com,"Actively Learn is a digital curriculum platform for grades 6-12 ELA, SS, and Science. Our catalog includes over 3,000 texts, videos, and simulations that include embedded questions, scaffolding notes, and multimedia to support all learners. We also seamlessly integrate with Google Classroom.",All teachers using Actively Learn will be upgraded to our Prime plan through the end of the summer.
ActivityVillage.co.uk,,,https://www.activityvillage.co.uk/school-closures,"Activity Village provides thousands of colouring pages, crafts, puzzles, worksheets and more, for parents and teachers.","Specially for these difficulit times, free themed bundles of fun printable activities for children - including puzzles, colouring pages, fun worksheets and more."
AdmitHub,,,https://learn.admithub.com/content-covid19support/,"AdmitHub developed the first student communication platform powered by artificial intelligence, specifically designed for higher education.","To support the higher education community during the Coronavirus outbreak, we are offering free access to the AdmitHub platform so you can provide clear, immediate answers about the outbreak."
Adobe Connect,,,https://blogs.adobe.com/adobeconnect/2020/03/adobe-connect-extending-support-in-the-wake-of-covid-19.html?scid=5478ab78-1af5-479e-8bd3-6e8cebd0c285&mv=social&mv2=owned_social,"Adobe Connect is a web conferencing platform that enables collaborative experiences that include video, audio, screen-sharing, polls, chat, Q&A, document sharing and much more. There's nothing for participants to install or configure, Adobe Connect works in any modern browser.","Starting this week, we are providing free 90-day access for Adobe Connect, until July 1st, 2020. Individuals and business who aren’t customers can now use Adobe Connect rooms with up-to 25 participants for free for up to 90 days if they sign-up for a trial license between now and July 1st."
Adventure 2 Learning,"Math, Reading, Writing, Science, Social Studies, Fine Arts, ESL, Foreign Language, Physical Education, Early Childhood, Special Education, STEM",Preschool - 8th,https://app.adventure2learning.com/account/register?plan=Monthly,"Adventure 2 Learning is a video-centered education platform that's used in >25,000 elementary schools, providing core curriculum and emerging subjects (e.g., MIndfulness, online behavior) in a way that's fun & exciting for today’s learners.",2 Months free for all families affected with code LEARN60
Adventures in Family: 20 Virtual Field Trips,"Science, Social Studies, Fine Arts, Early Childhood",ALL,https://adventuresinfamilyhood.com/20-virtual-field-trips-to-take-with-your-kids.html?fbclid=IwAR1jNUrI1FthVYR9Slu64gbuviEIE6QVxxoim8TdwnkbuETsMjrUyLeMIpM,"Virtual field trips are a fun and educational way to visit places virtually and keep “travel” going. There are also lesson ideas, activities and book suggestions to extend the learning for each type of destination.","Virtual tours of museums, zoos, aquariums, and more."
AFSA Education Foundation,AFSA Education Foundation,Personal Finance,www.afsaef.org,"The AFSA Education Foundation is a nonprofit focused on educating consumers of all ages on personal finance concepts and responsible money management. We offer a free personal finance course, MoneySKILL, that is accessible entirely online for students in middle school and above. The course is fully customizable and includes 37 modules available in English and Spanish that address topics such as budgeting, saving, investing, and more. Educators (including parents) can visit our website to view a demo and complete a brief registration form to access the full course content.","The entire MoneySKILL course is available for teachers, parents, and other educators for free at all times."
"Age of Learning (ABCMouse, Adventure Academy, ReadingIQ)",,,https://www.ageoflearning.com/schools,,
AirDeck.co,,,Narrated Presentation Platform,,"Online platform that allows you to create narrated presentations. AirDeck is giving educators a free Pro license ($400 value), using coupon code: FRIENDS."
Albert.io,"Math, Reading, Writing, Science, Social Studies, Foreign Language, STEM, Intervention Resources","6th - 8th, High School",https://www.albert.io/,"Albert is an online learning platform that supplements all 5-12 general content subjects including AP, SAT, ACT, ELA, math, and NGSS. Many of our partners come to us to increase student academic confidence and teacher capacity given we complement daily instruction with: -Over 90,000 practice questions with corresponding explanations -Instant feedback for students and automatic grading for teachers -Virtual assignment creation -Easily accessible data reporting",A free pilot with unlimited student access
Alchemie,,,https://www.alchem.ie/,The Mechanisms app allows students to learn and practice reaction mechanisms by moving and manipulating individual bonds and electrons. Instructors can assign specific puzzle problems through the Epiphany Dashboard. Students will be able to access those puzzles through the App on their phone or tablet. Demos of the Mechanisms and Epiphany Dashboard are available for free.,Alchemie is offering the Mechanism App for free from now until the end of the spring semester. June 30th
Alephbeta,,,https://www.alephbeta.org/,"Bring the Torah to life with Aleph Beta's videos. Be excited by learning Torah, and find relevant meaning for modern-day life.","Aleph Beta is temporarily offering free subscriptions with access to hundreds of educational videos, audios, and podcasts."
Algebravideotutor.com,Math,"6th - 8th, High School",http://videotutor.thinkific.com/courses/30-ways-to-pass-the-algebra-1-common-core-regents-corona?coupon=coronavirus,"30 brief (2.5 min average), informative videos covering the easiest and most commonly asked concepts on the Algebra 1 Common Core Regents! The entire video series is only 80 minutes in length!","Free, 30 day access from the date of enrollment to ""30 Ways to Pass the Algebra 1 Common Core Regents!"" (normal access is 330 days). This offer expires on 3/31/2020."
All Kids Network,"Math, Reading, Writing, ESL, Early Childhood, Special Education",K - 2nd,https://www.allkidsnetwork.com/,"We offer FREE educational resources, worksheets, writing prompts, themed coloring pages, craft and snack ideas for parents, teachers & caregivers.",FREE educational resources
AMAZE,,,https://amaze.org/,"AMAZE is a free online resource that envisions a world that recognizes child and adolescent sexual development as natural and healthy, a world in which young people everywhere are supported and affirmed and the adults in their lives communicate openly and honestly with them about puberty, reproduction, relationships, sex and sexuality. In such a world, young people across the globe would have access to the information and support they need to develop into sexually healthy adults.",Always Free.
American Archive of Public Broadcasting,"Social Studies, Primary Sources","6-8th, High School, and Higher Education",https://americanarchive.org,"The American Archive of Public Broadcasting (AAPB) is a collaboration between the Library of Congress and the WGBH Educational Foundation to coordinate a national effort to preserve at-risk public media before its content is lost to posterity and provide a central web portal for access to the unique programming that public stations have aired over the past 70 years. To date, over 110,000 digital files of television and radio programming contributed by more than 130 public media organizations and archives across the United States have been preserved and made accessible for long-term preservation and access. The entire collection is available on location at the Library of Congress and WGBH, and more than 52,000 files are available online at americanarchive.org.",Access to thousands of historic public television and radio programs.
American Association of Chemistry Teachers,,,https://teachchemistry.org/,"The American Association of Chemistry Teachers (AACT) is a professional community by and for K–12 teachers of chemistry. Take advantage of AACT's benefits to connect with peers, discover quality classroom resources, and achieve your professional goals. Membership is open to educators and anyone in the United States and around the world with an interest in K–12 chemistry education.",Through March 31 (updated as of 3/13)
American Chemical Society,,,https://www.acs.org/content/acs/en/education/resources/highschool/chemmatters/articles-by-topic.html,"The American Chemical Society has ChemMatters magazines, targeted for high schoolers, available online. In addition to chemistry, there are article that are biographies of chemists, and historical articles.",Free All The Time
American Panorama,,,https://dsl.richmond.edu/panorama/,Digital Atlas of America uses online GIS to explore and visualize data with maps.,Free
American Reading Company,,,https://www.americanreadingathome.com/bookshelf/,"ARC Bookshelf is a mobile application available on iOS, Android and viewable on the web, providing American Reading at Home titles specially designed for successful reading practice.",12 Free eBooks (6 in English; 6 in Spanish)
Angel Island Immigrant Journeys (Curriculum),Social Studies,"3rd - 5th, 6th - 8th, High School",https://www.aiisf.org/curriculum,"Angel Island Immigration Station's curriculum guides, called ""Immigrant Journeys,"" provide strategies and background material designed for teachers of Grades 3-12.","These free guides contain lessons, student worksheets, primary source documents from the National Archives, historical photographs, and list of resources to introduce students to the experience of immigrants on Angel Island."
Anyone Can Learn - Choose Your Paths,,,www.whyyourneighbormatters.com,"Students have step-by-step guidance to explore their passions, talents and life goals, interview people in the field in forums and by email and phone, and create a learning experience for others about their interest field. With a vision for life goals, kids care more about the tasks in front of them today.",Free 60-day subscription to Choose Your Path e-learning course (4th-12th grades)
Anywhere Teacher by School Zone Publishing,"Math, Reading, Writing, Science, Foreign Language, Early Childhood",K - 2nd,www.anywhereteacher.com,"Online Education Learning App (Ages 2-8) - 2,000 Activities, Preschool Learning Path, Playzone",One-Month Free subscription with code ATHOME
AprenderGratis,"Math, Reading, Science, Foreign Language, Special Education, Intervention Resources",ALL,https://aprendergratis.es/,More than 2000 free resources and courses for teachers in Spanish overall,Courses and resources for classes
Arcademics,,,https://www.arcademics.com/,"Boost student engagement & fact fluency with our free multiplayer educational games, math games, language arts games, and more!",Always Free.
Ardor Math,,,https://www.ardoreducation.com,"Math practice system. Web, iOS, Android. Teacher dashboard and student practice app.",We are giving 7th and 8th grade teachers who work in school affected by the coronavirus free Unlimited subscriptions. Just email us and we will set you up. contact@ardoreducation.com
Artrageous with Nate,"Fine Arts, STEM",4th-12th,www.youtube.com/artrageouswithnate,,Interactive videos meant to stimulate creativity and a hands-on activity at home.
Artusi,,,www.artusi.xyz,"Artusi is a suite of digital workbooks to help students learn the fundamental skills of music theory faster, better, and more accurately than before so they can spend more time pursuing the creative mission of music making and music study.","All Artusi online services are free to affected schools, universities, and other institutions until June 30. Email support@artusi.xyz to be added."
Asecend Math,,,https://ascendmath.com/coronavirus-offer/,"Ascend Math is a K to 12 math instructional resource Ascend Math offers award winning math instruction that provides an individual study plan for each student. Ascend Math's study plans are unique to each student, prescriptive, adaptive, and automatically assigned. Teachers also have the ability to assign standards to an entire class or grade to meet pacing guidelines.",Free Service Offered: Now until the end of April for schools new to Ascend Math.
ASSISTments,Math,6th - 8th,new.assistments.org,Free tool for math teachers to assign classwork and homework. Compatible with Google Classroom and many common curricula like Illustrative Mathematics. Students receive immediate feedback and teachers receive reports with student- and class-level data to inform instruction.,The platform is entirely free
Astrostem,"Science, STEM, Astronomy and Space Sciences, Astrophysics, Earth Sciences",ALL,http://www.astrostem.org,"Astrostem.org is an online education platform that includes astronomy lessons, astronomy applications, astronomy workshops, space games, current astronomy and space science news and allows users to produce their own content.",All resources free with creation of online account
ASU Virtual Field Trips,"Science, Social Studies, STEM","6th - 8th, High School, Higher Education",https://vft.asu.edu,"VFT's are topic based interactive and educationally rich experiences captured during real expeditions with scientists doing current research. Some are built with adaptive feedback and adaptive pathways. (Look for the designated icons). This adaptivity allows for non-linear experiences with varying pathways, as well as individual feedback, that is tailored to the users input and responses. These VFTs are being used in high school and college classrooms to supplement a wide variety of topics.",Always Free
Audible,"Reading, ESL, Foreign Language",ALL,https://stories.audible.com/start-listen,The world's largest collection of audiobooks.,"Now, kids of all ages can stream hundreds of free audiobooks across 6 different languages. Totally free. No sign-ups. No personal information required. No strings attached."
Auditory Sciences,,,https://streamer.solutions/COVID-Academic/,"Auditory Sciences is partnering with academic institutions who are preparing for prolonged absences and/or campus closures due to COVID-19. They are creating for your school a free captioning, note-taking and translation website that you can use to facilitate off-campus communications with students and faculty.","A private and secure Streamer captioning, translation and note-taking website configured specifically for your school. Students and faculty can use the website to caption and/or translate all conversations and lectures and do this anytime and as often as desired."
Australian Computing Academy Coding Challenges,STEM,"3rd - 5th, 6th - 8th, High School",aca.edu.au/resources,Free online coding courses for Australian School students aligned to the Australian Curriculum,"Our courses always have been, and continue to be free for Australian Students in years 3-8 (DT Challenges) and 7-12 (Cyber Security Challenges)"
Avaya Spaces,"Math, Reading, Writing, Science, Social Studies, Fine Arts, ESL, Foreign Language, Early Childhood, Special Education, STEM, Intervention Resources, Counseling",ALL,https://www.avaya.com/blogs/archives/2020/03/avaya_spaces_cv/,"Our free Avaya Spaces offer provides a cloud meeting and team collaboration solution that enables people and organizations to connect and collaborate remotely – and goes beyond integrating chat, voice, video, online meetings and content sharing. It gives users all the meeting and team collaboration features needed, including voice and video conferencing for up to 200 participants.",Free
Avochato,,,www.avochato.com,Text message platform and CRM,Free use of text message platform for the next 2 months.
Awesome Stories,"Reading, Writing, Science, Social Studies, Fine Arts",ALL,http://awesomestories.com,"5,390+ robust, original stories based on primary sources and presented in various media formats: written, dramatized narrations, videos, images, maps, and more!",Free stories each day are available for access - see the home page and the What Matters Now tabs
Backpack Sciences,,,https://www.backpacksciences.com/science-simplified,This is a free video series on how to teach science without the overwhelm.,Free Video Series
Bamboo Learning,"Math, Reading, Social Studies, ESL, Early Childhood",ALL,https://bamboolearning.com/resources,"Bamboo Learning offers FREE voice-based applications (Alexa skills) that cover a range of academic subjects, including math, ELA/listening comprehension, and social studies. Bamboo Learning Alexa skills focus on fun, home-based, family-friendly learning, and ensure children's engagement utilizing the unique nature of voice technology that promotes active conversational learning.","-- Bamboo Books: helps practice active listening and improve listening comprehension, offers stories for three age groups (Level 1: ages 5-7, Level 2: ages 7-10, Level 3: ages 10-12) - ""Alexa, open Bamboo Books""
-- Bamboo Luminaries: an engaging social studies trivia game that showcases prominent and lesser-known influential historical figures from diverse fields including art, literature, science, social justice, and sports - ""Alexa, open Bamboo Luminaries""
-- Bamboo Math: helps practice mental math, offers number problems and over 500,000 fun and engaging word problems in four areas of arithmetic (+ - x ÷) across 5 difficulty levels - ""Alexa, open Bamboo Math""
-- Bamboo Music: introduces basic music theory, offers fun and engaging music games such as “Recognize the Instrument” and music exercises across 3 levels, incorporates children's nursery rhymes and selections from folk and classical music - ""Alexa, open Bamboo Music""
-- Highlights Storybooks from Bamboo: co-developed with literacy experts at Highlights magazine, offers engaging stories and exercises to practice active listening and improve listening comprehension leveled for learners in Kindergarten through 3rd grade - ""Alexa, open Highlights Storybooks""
-- Bamboo Grove: a web-based application that enables parents to follow their children's progress and review their work in Bamboo Learning Alexa skills - to register, please go to https://grove.bamboolearning.com/"
Banzai!,"Math, Special Education, STEM, Financial Literacy",3rd- 12th,teachbanzai.com,"Banzai is an award-winning financial education program that helps your students learn the value of a dollar. We’ll show you how Banzai simulates real-life scenarios in three interactive courses. Banzai meets all state curriculum standards, and completely free to use, thanks to the sponsorship of local banks and credit unions!",Free Financial Literacy Online Program!
Bark,,,https://www.bark.us/technight,Everything you need to help educate families about online safety — for free,Online safety materials
Bark for Schools,,,https://www.bark.us/schools,"Student and school safety product that detects potential problems across G Suite, Office 365, and Chrome to help protect students — at no cost. Bark looks for potentially harmful activities that may indicate online predators, adult content, sexting, cyberbullying, drug use, depression, suicidal ideation, and more, so that communities can help keep kids safe online and in real life.",Free G Suite and Office 365 account monitoring and web filtering for all K-12 schools in the U.S.
BASHO & FRIENDS All-Access Spanish Library,,,https://bashoandfriends.teachable.com/p/teacher-toolkit-spanish/,BASHO & FRIENDS makes music-based foreign language learning resources with a focus on Spanish.,"Free access for the next three months to our music-based Spanish lessons covering topics ranging from days of the week and the seasons, to colors and classroom objects. This includes music videos, worksheets, and song files."
Beanstalk,,,https://beanstalk.co/,"Beanstalk Interactive, a Denver-based interactive educational pre-school children's content company, announced today that it will be offering free membership during the Coronavirus outbreak.",Free membership!
Bedtime Math,Math,K-5,www.bedtimemath.org,"Bedtime Math is a national nonprofit that ignites kids' curiosity and learning by unleashing the fun in math. It offers playful online math problems for parents to do with their kids every day, as well as lively hands-on games. Research has shown that both offerings reduce kids’ math anxiety, increase their love of math, and lay the groundwork for greater math achievement.","In response to sudden demand for learning at home, we’ve taken our engaging and research-proven after-school math club activities and presenting them for families to use for free: http://bedtimemath.org/fun-math-at-home/. Families can also download our free Bedtime Math app on iOS and Android, which delivers a fun new math problem every day for families to do together and is proven to boost kids’ math skills."
Beed,,,https://www.beed.world/,"BeED is a Finnish certified pedagogically-focused platform designed to meet your school’s curricular and teaching needs. Some of the BeED features include a mobile experiential learning app, multi-blocking Curriculum Builder and interactive mapping for an engaging and flexible learning experience. A mobile platform enables educators to move beyond the closed walls of schools to conduct lessons remotely, giving students the support they need, through continual learning. Through their own mobile devices, students and teachers can carry on with their lessons, grading and personalized interaction, all from the comfort and safety of their own homes.","In light of more schools being closed throughout the region, BeED would like to extend its' support and services to schools affected by Covid-19 with a complimentary free 6 months' subscription to the mobile learning platform. During this process, the BeED team will provide on-going support from the on-boarding training to the uploading of content materials and more."
BeeLine Reader,,,www.beelinereader.com/education,"BeeLine Reader helps students read on screen more effectively. It is used both by skilled readers (including high school and college students) and readers with dyslexia, ADHD and autism. The technology is backed by educational research and has won social impact awards from the United Nations and Stanford University.",Free access to the BeeLine Reader Browser Plugin for Chrome through September 2020. Email education@BeeLineReader.com and we’ll send you a free account for you and your students!
Belouga,,,https://belouga.org/,"Belouga is a digital platform providing K-12 teachers and students with a personalized learning journey through connection, communication and collaboration with peers around the world.",Always Free.
Better Chinese,,,https://www.betterchinese.com/pages/coronavirus,Better Chinese is a leading publisher of Mandarin curricula for students from pre-kindergarten to college. Better Chinese materials have been officially adopted by nine states in the United States and are used in 1400+ schools worldwide.,"BetterChinese is offering free online access for schools and individual learners, K through College."
BetterWorldEd.org,"Math, Reading, Writing, Science, Social Studies, Fine Arts, ESL, Early Childhood, STEM, SEL","Early Childhood, K - 2nd, 3rd - 5th, 6th - 8th, High School",BetterWorldEd.org/Coronavirus,"We help you(th) love learning about self, others, and our world. Through captivating videos.",A Learning Unit about Coronavirus -- evolving weekly and even daily
"BFW - Bedford, Freeman & Worth HS Publishers","Math, Reading, Writing, Science, Social Studies, STEM",High School,https://www.bfwpub.com/high-school/us/content/covid19,BFW is the premier Advanced Placement publisher.,90 days free ebook to any BFW title - online and offline access (no internet required after download)
Bible Quest: Classical Bible Curriculum,Religious Instruction: Bible,ALL,https://www.biblequestclassical.com/request-a-sample,Classical-model resources for teaching God's Word,Four free weeks of materials
BiblioBoard (RAILS for Schools),,,https://railsforschools.biblioboard.com/home,"Thousands of simultaneous access e-books and resources, available to everyone in Illinois all the time.","This service is provided at no cost via RAILS. It is always free, always available."
Big Deal Media,"Math, Reading, Writing, Science, Social Studies, Fine Arts, ESL, Special Education, STEM, Intervention Resources","K - 2nd, 3rd - 5th, 6th - 8th, High School",https://www.bigdealbook.com/,"Big Deal Media saves educators hours of research and thousands of dollars while identifying top-quality resources and OERs for schools and classrooms. It is a content-rich collection of trusted print and electronic publications that offer the information and tools K-12 educators need-all vetted through the prism of the curriculum. It consistently delivers wish lists of resources and funding opportunities, and has done so since 1995.","Free biweekly, enewsletter K-12 Technology showcases trusted digital and mobile learning experiences, funding, professional growth, social media, STEM resources, and OERs to help successfully integrate technology in today's classrooms and schools. Also join our free community Amazing Resources for Educators on edWeb.net"
Big History Project,,,https://school.bighistoryproject.com/bhplive,,Always Free.
Big Life Journal,"Counseling, Growth Mindset; Resilience; Social Emotional Development","Early Childhood, K - 2nd, 3rd - 5th, 6th - 8th, High School",https://biglifejournal.com/,Big Life Journal provides engaging resources that help kids develop a growth and resilient mindset so they can face life’s challenges with confidence.,"There is a free podcast as well as free printables to go with the podcasts, weekly free printables to enhance learning, and a free ""Parent's Guide to a Growth Mindset"". (These free services have always been free, not free just due to school closings. There are also a multitude of services that are not free.)"
Bigger Brains,,,https://getbiggerbrains.com/coronavirus-help-free-microsoft-teams-training/,"Online training courses, especially Microsoft Teams","Free courses posted to YouTube for Microsoft Teams and Microsoft Forms, discounts on general subscriptions, free subscriptions for school teachers (email sales@bigger-brains.com to confirm credentials)."
Bio-Rad Laboratories,"Science, STEM","High School, Higher Education",youtube.com/bioradeducation,Bio-Rad Explorer's YouTube channel is a hub of educational and instructional videos for students and educators from Bio-Rad and the life science education community.,Videos
Biology Simulations,Science,High School,www.biologysimulations.com,"Simulations and virtual labs for biology topics including evolution, ecology, and cellular energetics.",All materials are free
Biovideotutor.com,Science,"6th - 8th, High School",http://videotutor.thinkific.com/courses/50-ways-to-pass-the-living-environment-regents-corona?coupon=coronavirus,"50 brief (90 sec avg), informative videos covering the easiest and most commonly asked concepts on the Living Environment Regents! The entire course is only 90 minutes in length!","Free, 30 day access from the date of enrollment to ""50 Ways to Pass the Living Environment Regents!""; normal access is for 330 days. This offer expires on 3/31/2020"
Bites Media,"Social Studies, Civics & Media Literacy",High School,https://bitesmedia.com/,"Free resource for middle and high school teachers & students! Bites Media connects credible, high standard media reporting on current events with ""why it matters"" to democracy and citizenship, supporting students with developing critical media literacy skills and helping tomorrow’s leaders be more informed citizens today.","Free, up-to-date and reader-friendly content on nearly 200 relevant and timely topics and world events, including: Law and Politics, Science and Technology, Life and Arts, plus Sports and Health. Also access to Bites Media newsletter."
BiteScis,"Science, STEM",High School,https://bitescis.org/,BiteScis integrates current scientific research into NGSS-aligned lessons aimed at introductory high school level courses. Most lesson are easily modified for remote learning.,Lesson plans and all corresponding materials are always free.
Black Box Education,,,https://docs.google.com/document/d/1jnDsvkKgLBAYSLJO7KrioOKpZj34JesJqneFrypGKo0/edit,"Digital and interactive resources for drama, dance and theatre.","6 free resource packs for digital, online schooling."
Blackboard Inc,,,https://content.blackboard.com/K12_COVID-19_ResourceCenter,Blackboard offers virtual classroom and district communication resources,"Communication guides, virtual classrooms, webinars, training."
BlockCAD,,,https://www.blockscad3d.com/distance_learning,BlocksCAD builds math and computer science skills by using a specialized 3D CAD (computer-aided drafting) software. A block-based coding platform allows students to create and manipulate 3D objects while using geometry and computational thinking skills.,We'd like to support teachers by offering anyone in a closed school the chance to have access to BlocksCAD for Education Premium for free until the end of the school year.
"Blocksmith, Inc","Science, STEM, Computer/Design/Programming","3rd, 6th, High School and Higher Ed.",https://www.blocksmithxr.com/education,"A highly accessible software for students age 8 and up to learn about 3D video game making, incl modeling, animations and programming. Virtual Reality friendly. Hourly lesson plans guide students step by step to making their first games.",Free Software to use. Free trial for advanced features and a free 2h curriculum sample making their first 3D games.
Blutick,"Math, STEM","6th - 8th, High School",https://blutick.com/,"Blutick is an online learning platform for the GCSE/IGCSE 11-16 Mathematics curriculum, and can be accessed on computers, tablets and phones, on all operating systems, and can even be used offline (after first use). All topics on Blutick have explanatory videos, worked examples, and intelligent line-by-line feedback on every question.","Full access to our services across the 11-16 GCSE/IGCSE Maths curriculum will be available free of charge to any school affected by the virus, at least until 1 September 2020."
Boardmaker,,,https://goboardmaker.com/pages/activities-to-go,"Boardmaker is a collection of standardized picture symbols used for communication with students who are strong visual learners. This includes those with autism spectrum disorders, Down Syndrome, speech and language disorders, and behavioral disorders.","We have a thematic series of units called Boardmaker Activities to Go- all free, and ready to download, print, copy etc."
Boclips for Teachers,"Math, Reading, Writing, Science, Social Studies, Fine Arts, ESL, Foreign Language, Physical Education, Early Childhood, Special Education, STEM",ALL,https://www.boclips.com/remote-learning-resources,"With over 1 million high-quality videos and an array of standards-aligned resources, Boclips for Teachers helps educators to safely enrich their lessons with video.","Access to videos, webinars, strategy sheets, and more—all specifically curated to help teachers transition to online learning."
Boddle Learning,Math,1st - 6th,https://www.boddlelearning.com/,Boddle is a math platform for 1-6th grade that makes learning fun and personalized. Teachers are able to track student progress remotely and quickly identify learning gaps.,Boddle is currently being offered at no cost to educators that are dealing with school closures. Add #remote next to school name on sign-up page.
BombBomb,,,www.bombbomb.com/education,"Video messaging tool that can be used in gmail, Outlook, or any messaging app that teachers may use to communicate with students or parents.",The full platform is now free for all teachers ($588 value)
Book Like A Boss,Class Booking Software,ALL,https://booklikeaboss.com,We are one of Zoom's top 10 Apps. We make it simple to book appointments and sell services,Free account for as long as needed to help schools run their virtual classes
BookCreater App,,,https://bookcreator.com/2020/03/support-for-schools-affected-by-coronavirus/,,
